Country Name,Series Name,1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
Afghanistan,GNI (current US$),1771108944.44,2202222228.89,2417777777.78,2611111162.22,3017777697.78,3371111037.78,3775743789.47,3716553247.17,3551514995.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,12120176204.67,15661382530.54,18170579461.78,20235386309.10,20636233966.86,20548204590.59,20178932633.89,18199122411.63,19145018172.22,18610269530.21,19205027114.19,20332393769.32,14705487686.30,
Afghanistan,"GNI per capita, PPP (current international $)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1570.00,1770.00,1750.00,1960.00,2070.00,2110.00,2150.00,2040.00,2120.00,2130.00,2200.00,2100.00,1690.00,
Afghanistan,"Life expectancy at birth, total (years)",39.00,39.55,40.10,40.65,41.23,40.27,39.09,39.62,40.16,37.77,38.19,33.33,33.55,39.40,39.84,43.96,45.16,45.97,46.66,47.60,51.47,51.50,52.54,53.24,53.63,52.94,54.85,55.30,55.80,56.45,57.34,57.94,58.36,58.68,59.11,59.85,60.36,60.85,61.42,61.92,62.42,62.55,62.66,63.14,63.02,63.08,63.57,62.58,61.98,
Afghanistan,"GNI per capita, PPP (constant 2017 international $)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2123.68,,,,,
Afghanistan,"Primary education, duration (years)",6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00
Afghanistan,"Preprimary education, duration (years)",,,,,,,,,,,,,,,,,,,,,,,,,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
Afghanistan,"Secondary education, duration (years)",6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00
Afghanistan,"Population, total",11575305.00,11869879.00,12157386.00,12425267.00,12687301.00,12938862.00,12986369.00,12486631.00,11155195.00,10088289.00,9951449.00,10243686.00,10512221.00,10448442.00,10322758.00,10383460.00,10673168.00,10694796.00,10745167.00,12057433.00,14003760.00,15455555.00,16418912.00,17106595.00,17788819.00,18493132.00,19262847.00,19542982.00,19688632.00,21000256.00,22645130.00,23553551.00,24411191.00,25442944.00,25903301.00,26427199.00,27385307.00,28189672.00,29249157.00,30466479.00,31541209.00,32716210.00,33753499.00,34636207.00,35643418.00,36686784.00,37769499.00,38972230.00,40099462.00,41128771.00
Albania,GNI (current US$),,,,,,,,,,,,1860538011.88,1898450133.43,2097426250.00,2081196250.00,2051436250.00,2252990000.00,2026653750.00,1077859027.78,617074990.17,1219215468.95,1894750857.79,2436364853.42,3271323099.84,2308847102.93,2622487165.92,3287389862.42,3585007221.82,4048094111.10,4457186384.04,5762066193.23,7353974652.92,8214108537.76,9158294205.96,10975296979.20,12946373388.91,11852736947.51,11807769475.00,12894099756.35,12228069233.79,12996543394.08,13349419700.42,11521811424.11,12053832974.20,13051517643.62,15137984897.56,15200244541.92,14912504601.93,17680966714.64,18535091967.27
Albania,"GNI per capita, PPP (current international $)",,,,,,,,,,,,,,,,,,2550.00,1880.00,1740.00,2110.00,2300.00,2710.00,3050.00,2780.00,3110.00,3550.00,3980.00,4440.00,4780.00,5130.00,5560.00,5980.00,6760.00,7490.00,8270.00,8670.00,9530.00,10210.00,10450.00,10750.00,11360.00,11800.00,12270.00,12800.00,13480.00,14220.00,13830.00,15320.00,18210.00
