Year,GNI (current US$),"GNI per capita, PPP (current international $)","Life expectancy at birth, total (years)","GNI per capita, PPP (constant 2017 international $)","Primary education, duration (years)","Preprimary education, duration (years)","Secondary education, duration (years)","Population, total",Expected Years of Schooling,GNI per capital,Life Expectancy Index,Education Index,Income Index,Human Development Index
1973-01-01,63870595771.94,16780.0,71.85,47086.51,6.0,5.0,6.0,13380000.0,22.0,4773.587127947683,0.7976923076923076,1.2222222222222223,0.5839335930446342,0.9539682748375623
1973-02-01,65936157153.50917,16780.0,71.8825,47086.51,6.0,5.0,6.0,13408583.333333334,22.0,4914.162537806703,0.7981923076923076,1.2222222222222223,0.5877428087548257,0.9539682748375623
1973-03-01,68001718535.07834,16780.0,71.91499999999999,47086.51,6.0,5.0,6.0,13437166.666666666,22.0,5054.7379476657225,0.7986923076923076,1.2222222222222223,0.5915520244650172,0.9539682748375623
1973-04-01,70067279916.6475,16780.0,71.94749999999999,47086.51,6.0,5.0,6.0,13465750.0,22.0,5195.313357524743,0.7991923076923075,1.2222222222222223,0.5953612401752086,0.9539682748375623
1973-05-01,72132841298.21667,16780.0,71.97999999999999,47086.51,6.0,5.0,6.0,13494333.333333334,22.0,5335.888767383763,0.7996923076923076,1.2222222222222223,0.5991704558854002,0.9539682748375623
1973-06-01,74198402679.78584,16780.0,72.01249999999999,47086.51,6.0,5.0,6.0,13522916.666666666,22.0,5476.464177242782,0.8001923076923076,1.2222222222222223,0.6029796715955916,0.9539682748375623
1973-07-01,76263964061.35501,16780.0,72.04499999999999,47086.51,6.0,5.0,6.0,13551500.0,22.0,5617.039587101803,0.8006923076923076,1.2222222222222223,0.6067888873057832,0.9539682748375623
1973-08-01,78329525442.92416,16780.0,72.0775,47086.51,6.0,5.0,6.0,13580083.333333334,22.0,5757.614996960822,0.8011923076923075,1.2222222222222223,0.6105981030159746,0.9539682748375623
1973-09-01,80395086824.49333,16780.0,72.11,47086.51,6.0,5.0,6.0,13608666.666666666,22.0,5898.190406819842,0.8016923076923076,1.2222222222222223,0.614407318726166,0.9539682748375623
1973-10-01,82460648206.0625,16780.0,72.1425,47086.51,6.0,5.0,6.0,13637250.0,22.0,6038.7658166788615,0.8021923076923076,1.2222222222222223,0.6182165344363576,0.9539682748375623
1973-11-01,84526209587.63167,16780.0,72.175,47086.51,6.0,5.0,6.0,13665833.333333334,22.0,6179.341226537881,0.8026923076923076,1.2222222222222223,0.622025750146549,0.9539682748375623
1973-12-01,86591770969.20084,16780.0,72.2075,47086.51,6.0,5.0,6.0,13694416.666666666,22.0,6319.916636396902,0.8031923076923075,1.2222222222222223,0.6258349658567406,0.9539682748375623
1974-01-01,88657332350.77,16780.0,72.24,47086.51,6.0,5.0,6.0,13723000.0,22.0,6460.492046255921,0.8036923076923076,1.2222222222222223,0.629644181566932,0.9539682748375623
1974-02-01,89395217042.7825,16780.0,72.2725,47086.51,6.0,5.0,6.0,13737166.666666666,22.0,6507.016271023109,0.8041923076923077,1.2222222222222223,0.6306875275517441,0.9539682748375623
1974-03-01,90133101734.795,16780.0,72.30499999999999,47086.51,6.0,5.0,6.0,13751333.333333334,22.0,6553.5404957902965,0.8046923076923076,1.2222222222222223,0.631730873536556,0.9539682748375623
1974-04-01,90870986426.8075,16780.0,72.33749999999999,47086.51,6.0,5.0,6.0,13765500.0,22.0,6600.064720557484,0.8051923076923075,1.2222222222222223,0.6327742195213679,0.9539682748375623
1974-05-01,91608871118.82,16780.0,72.36999999999999,47086.51,6.0,5.0,6.0,13779666.666666666,22.0,6646.588945324673,0.8056923076923076,1.2222222222222223,0.63381756550618,0.9539682748375623
