Year,GNI (current US$),"GNI per capita, PPP (current international $)","Life expectancy at birth, total (years)","GNI per capita, PPP (constant 2017 international $)","Primary education, duration (years)","Preprimary education, duration (years)","Secondary education, duration (years)","Population, total",Expected Years of Schooling,GNI per capital,Life Expectancy Index,Education Index,Income Index,Human Development Index
1973-01-01,29621908075.06,19560.0,71.01,37786.54,4.0,6.0,8.0,7586115.0,22.0,3904.7533652020834,0.7847692307692309,1.2222222222222223,0.5535859802814459,0.9719629056654886
1973-02-01,30100631638.985836,19560.0,71.01,37786.54,4.0,6.0,8.0,7587191.916666667,22.0,3967.197910149434,0.7847692307692309,1.2222222222222223,0.5557958164948319,0.9719629056654886
1973-03-01,30579355202.911667,19560.0,71.01,37786.54,4.0,6.0,8.0,7588268.833333333,22.0,4029.642455096784,0.7847692307692309,1.2222222222222223,0.5580056527082179,0.9719629056654886
1973-04-01,31058078766.8375,19560.0,71.01,37786.54,4.0,6.0,8.0,7589345.75,22.0,4092.0870000441346,0.7847692307692309,1.2222222222222223,0.5602154889216038,0.9719629056654886
1973-05-01,31536802330.763332,19560.0,71.01,37786.54,4.0,6.0,8.0,7590422.666666667,22.0,4154.531544991485,0.7847692307692309,1.2222222222222223,0.5624253251349898,0.9719629056654886
1973-06-01,32015525894.689167,19560.0,71.01,37786.54,4.0,6.0,8.0,7591499.583333333,22.0,4216.976089938836,0.7847692307692309,1.2222222222222223,0.5646351613483758,0.9719629056654886
1973-07-01,32494249458.614998,19560.0,71.01,37786.54,4.0,6.0,8.0,7592576.5,22.0,4279.420634886186,0.7847692307692309,1.2222222222222223,0.5668449975617618,0.9719629056654886
1973-08-01,32972973022.540833,19560.0,71.01,37786.54,4.0,6.0,8.0,7593653.416666667,22.0,4341.865179833537,0.7847692307692309,1.2222222222222223,0.5690548337751478,0.9719629056654886
1973-09-01,33451696586.466667,19560.0,71.01,37786.54,4.0,6.0,8.0,7594730.333333333,22.0,4404.309724780887,0.7847692307692309,1.2222222222222223,0.5712646699885338,0.9719629056654886
1973-10-01,33930420150.392498,19560.0,71.01,37786.54,4.0,6.0,8.0,7595807.25,22.0,4466.754269728237,0.7847692307692309,1.2222222222222223,0.5734745062019198,0.9719629056654886
1973-11-01,34409143714.31833,19560.0,71.01,37786.54,4.0,6.0,8.0,7596884.166666667,22.0,4529.1988146755875,0.7847692307692309,1.2222222222222223,0.5756843424153056,0.9719629056654886
1973-12-01,34887867278.24416,19560.0,71.01,37786.54,4.0,6.0,8.0,7597961.083333333,22.0,4591.643359622938,0.7847692307692309,1.2222222222222223,0.5778941786286916,0.9719629056654886
