Year,GNI (current US$),"GNI per capita, PPP (current international $)","Life expectancy at birth, total (years)","GNI per capita, PPP (constant 2017 international $)","Primary education, duration (years)","Preprimary education, duration (years)","Secondary education, duration (years)","Population, total",Expected Years of Schooling,GNI per capital,Life Expectancy Index,Education Index,Income Index,Human Development Index
1973-01-01,129949175381.33,19500.0,73.16,33355.6,6.0,3.0,6.0,22491777.0,19.0,5777.630437173995,0.8178461538461538,1.0555555555555556,0.6127694673608959,0.9142375424408423
1973-02-01,132334904531.50166,19500.0,73.16666666666666,33355.6,6.0,3.0,6.0,22518126.333333332,19.0,5875.556405062927,0.8179487179487179,1.0555555555555556,0.615100036779112,0.9142375424408423
1973-03-01,134720633681.67334,19500.0,73.17333333333333,33355.6,6.0,3.0,6.0,22544475.666666668,19.0,5973.482372951859,0.818051282051282,1.0555555555555556,0.6174306061973279,0.9142375424408423
1973-04-01,137106362831.845,19500.0,73.17999999999999,33355.6,6.0,3.0,6.0,22570825.0,19.0,6071.408340840791,0.8181538461538461,1.0555555555555556,0.619761175615544,0.9142375424408423
1973-05-01,139492091982.01666,19500.0,73.18666666666667,33355.6,6.0,3.0,6.0,22597174.333333332,19.0,6169.3343087297235,0.8182564102564102,1.0555555555555556,0.62209174503376,0.9142375424408423
1973-06-01,141877821132.18835,19500.0,73.19333333333333,33355.6,6.0,3.0,6.0,22623523.666666668,19.0,6267.260276618656,0.8183589743589743,1.0555555555555556,0.624422314451976,0.9142375424408423
1973-07-01,144263550282.36002,19500.0,73.19999999999999,33355.6,6.0,3.0,6.0,22649873.0,19.0,6365.186244507588,0.8184615384615384,1.0555555555555556,0.6267528838701921,0.9142375424408423
1973-08-01,146649279432.53168,19500.0,73.20666666666666,33355.6,6.0,3.0,6.0,22676222.333333332,19.0,6463.11221239652,0.8185641025641025,1.0555555555555556,0.6290834532884081,0.9142375424408423
1973-09-01,149035008582.70334,19500.0,73.21333333333332,33355.6,6.0,3.0,6.0,22702571.666666668,19.0,6561.038180285451,0.8186666666666667,1.0555555555555556,0.6314140227066242,0.9142375424408423
1973-10-01,151420737732.875,19500.0,73.22,33355.6,6.0,3.0,6.0,22728921.0,19.0,6658.964148174383,0.8187692307692307,1.0555555555555556,0.6337445921248401,0.9142375424408423
