Year,GNI (current US$),"GNI per capita, PPP (current international $)","Life expectancy at birth, total (years)","GNI per capita, PPP (constant 2017 international $)","Primary education, duration (years)","Preprimary education, duration (years)","Secondary education, duration (years)","Population, total",Expected Years of Schooling,GNI per capital,Life Expectancy Index,Education Index,Income Index,Human Development Index
1973-01-01,138543203562.72,980.0,59.39,2361.39,5.0,4.0,4.0,881940000.0,19.0,157.0891484258793,0.606,1.0555555555555556,0.06822330637251799,0.6334400354867491
1973-02-01,139013683623.035,980.0,59.455,2361.39,5.0,4.0,4.0,883474166.6666666,19.0,157.34402611245116,0.607,1.0555555555555556,0.06846603940223393,0.6334400354867491
1973-03-01,139484163683.35,980.0,59.52,2361.39,5.0,4.0,4.0,885008333.3333334,19.0,157.598903799023,0.608,1.0555555555555556,0.06870877243194987,0.6334400354867491
1973-04-01,139954643743.665,980.0,59.585,2361.39,5.0,4.0,4.0,886542500.0,19.0,157.85378148559485,0.609,1.0555555555555556,0.06895150546166581,0.6334400354867491
1973-05-01,140425123803.98,980.0,59.65,2361.39,5.0,4.0,4.0,888076666.6666666,19.0,158.1086591721667,0.61,1.0555555555555556,0.06919423849138176,0.6334400354867491
1973-06-01,140895603864.295,980.0,59.715,2361.39,5.0,4.0,4.0,889610833.3333334,19.0,158.36353685873854,0.611,1.0555555555555556,0.06943697152109769,0.6334400354867491
1973-07-01,141366083924.61,980.0,59.78,2361.39,5.0,4.0,4.0,891145000.0,19.0,158.6184145453104,0.612,1.0555555555555556,0.06967970455081364,0.6334400354867491
1973-08-01,141836563984.925,980.0,59.845,2361.39,5.0,4.0,4.0,892679166.6666666,19.0,158.87329223188226,0.613,1.0555555555555556,0.06992243758052959,0.6334400354867491
1973-09-01,142307044045.24,980.0,59.910000000000004,2361.39,5.0,4.0,4.0,894213333.3333334,19.0,159.1281699184541,0.614,1.0555555555555556,0.07016517061024552,0.6334400354867491
1973-10-01,142777524105.555,980.0,59.975,2361.39,5.0,4.0,4.0,895747500.0,19.0,159.38304760502595,0.615,1.0555555555555556,0.07040790363996147,0.6334400354867491
1973-11-01,143248004165.87,980.0,60.04,2361.39,5.0,4.0,4.0,897281666.6666666,19.0,159.6379252915978,0.616,1.0555555555555556,0.07065063666967741,0.6334400354867491
1973-12-01,143718484226.185,980.0,60.105000000000004,2361.39,5.0,4.0,4.0,898815833.3333334,19.0,159.89280297816964,0.617,1.0555555555555556,0.07089336969939335,0.6334400354867491
1974-01-01,144188964286.5,980.0,60.17,2361.39,5.0,4.0,4.0,900350000.0,19.0,160.1476806647415,0.618,1.0555555555555556,0.0711361027291093,0.6334400354867491
1974-02-01,145792341966.1925,980.0,60.2325,2361.39,5.0,4.0,4.0,901687083.3333334,19.0,161.6636720058157,0.6189615384615385,1.0555555555555556,0.0724904819334907,0.6334400354867491
1974-03-01,147395719645.885,980.0,60.295,2361.39,5.0,4.0,4.0,903024166.6666666,19.0,163.1796633468899,0.6199230769230769,1.0555555555555556,0.0738448611378721,0.6334400354867491
1974-04-01,148999097325.5775,980.0,60.3575,2361.39,5.0,4.0,4.0,904361250.0,19.0,164.69565468796407,0.6208846153846154,1.0555555555555556,0.0751992403422535,0.6334400354867491
1974-05-01,150602475005.27,980.0,60.42,2361.39,5.0,4.0,4.0,905698333.3333334,19.0,166.21164602903826,0.6218461538461538,1.0555555555555556,0.07655361954663491,0.6334400354867491
1974-06-01,152205852684.9625,980.0,60.4825,2361.39,5.0,4.0,4.0,907035416.6666666,19.0,167.72763737011246,0.6228076923076923,1.0555555555555556,0.07790799875101631,0.6334400354867491
1974-07-01,153809230364.655,980.0,60.545,2361.39,5.0,4.0,4.0,908372500.0,19.0,169.24362871118666,0.6237692307692309,1.0555555555555556,0.0792623779553977,0.6334400354867491
1974-08-01,155412608044.3475,980.0,60.6075,2361.39,5.0,4.0,4.0,909709583.3333334,19.0,170.75962005226086,0.6247307692307693,1.0555555555555556,0.08061675715977912,0.6334400354867491
1974-09-01,157015985724.04,980.0,60.67,2361.39,5.0,4.0,4.0,911046666.6666666,19.0,172.27561139333505,0.6256923076923078,1.0555555555555556,0.08197113636416051,0.6334400354867491
1974-10-01,158619363403.73248,980.0,60.7325,2361.39,5.0,4.0,4.0,912383750.0,19.0,173.79160273440925,0.6266538461538462,1.0555555555555556,0.08332551556854191,0.6334400354867491
1974-11-01,160222741083.425,980.0,60.795,2361.39,5.0,4.0,4.0,913720833.3333334,19.0,175.30759407548342,0.6276153846153847,1.0555555555555556,0.08467989477292331,0.6334400354867491
1974-12-01,161826118763.1175,980.0,60.8575,2361.39,5.0,4.0,4.0,915057916.6666666,19.0,176.82358541655762,0.6285769230769231,1.0555555555555556,0.08603427397730472,0.6334400354867491
1975-01-01,163429496442.81,980.0,60.92,2361.39,5.0,4.0,4.0,916395000.0,19.0,178.33957675763182,0.6295384615384616,1.0555555555555556,0.08738865318168612,0.6334400354867491
