Year,GNI (current US$),"GNI per capita, PPP (current international $)","Life expectancy at birth, total (years)","GNI per capita, PPP (constant 2017 international $)","Primary education, duration (years)","Preprimary education, duration (years)","Secondary education, duration (years)","Population, total",Expected Years of Schooling,GNI per capital,Life Expectancy Index,Education Index,Income Index,Human Development Index
1973-01-01,85101941339.18,1190.0,49.54,1795.94,5.0,3.0,7.0,596107483.0,19.0,142.76274625993915,0.4544615384615385,1.0555555555555556,0.05377794750038689,0.5236552688849654
1973-02-01,86273532584.61665,1190.0,49.59833333333333,1795.94,5.0,3.0,7.0,597242022.0,19.0,144.41861799032674,0.4553589743589744,1.0555555555555556,0.05541832797785036,0.5236552688849654
1973-03-01,87445123830.05333,1190.0,49.656666666666666,1795.94,5.0,3.0,7.0,598376561.0,19.0,146.07448972071433,0.4562564102564103,1.0555555555555556,0.05705870845531382,0.5236552688849654
1973-04-01,88616715075.48999,1190.0,49.715,1795.94,5.0,3.0,7.0,599511100.0,19.0,147.73036145110188,0.4571538461538462,1.0555555555555556,0.05869908893277729,0.5236552688849654
1973-05-01,89788306320.92667,1190.0,49.77333333333333,1795.94,5.0,3.0,7.0,600645639.0,19.0,149.38623318148947,0.4580512820512821,1.0555555555555556,0.06033946941024076,0.5236552688849654
1973-06-01,90959897566.36333,1190.0,49.83166666666666,1795.94,5.0,3.0,7.0,601780178.0,19.0,151.04210491187706,0.458948717948718,1.0555555555555556,0.06197984988770422,0.5236552688849654
1973-07-01,92131488811.79999,1190.0,49.89,1795.94,5.0,3.0,7.0,602914717.0,19.0,152.69797664226462,0.4598461538461539,1.0555555555555556,0.06362023036516769,0.5236552688849654
1973-08-01,93303080057.23666,1190.0,49.94833333333334,1795.94,5.0,3.0,7.0,604049256.0,19.0,154.3538483726522,0.46074358974358975,1.0555555555555556,0.06526061084263116,0.5236552688849654
1973-09-01,94474671302.67332,1190.0,50.00666666666667,1795.94,5.0,3.0,7.0,605183795.0,19.0,156.0097201030398,0.46164102564102566,1.0555555555555556,0.06690099132009462,0.5236552688849654
1973-10-01,95646262548.11,1190.0,50.065,1795.94,5.0,3.0,7.0,606318334.0,19.0,157.66559183342738,0.46253846153846156,1.0555555555555556,0.06854137179755809,0.5236552688849654
1973-11-01,96817853793.54666,1190.0,50.123333333333335,1795.94,5.0,3.0,7.0,607452873.0,19.0,159.32146356381497,0.46343589743589747,1.0555555555555556,0.07018175227502155,0.5236552688849654
1973-12-01,97989445038.98334,1190.0,50.18166666666667,1795.94,5.0,3.0,7.0,608587412.0,19.0,160.97733529420253,0.4643333333333334,1.0555555555555556,0.07182213275248502,0.5236552688849654
1974-01-01,99161036284.42,1190.0,50.24,1795.94,5.0,3.0,7.0,609721951.0,19.0,162.63320702459012,0.4652307692307693,1.0555555555555556,0.07346251322994848,0.5236552688849654
1974-02-01,99079126143.8625,1190.0,50.2875,1795.94,5.0,3.0,7.0,610872140.0,19.0,162.20183794843254,0.46596153846153854,1.0555555555555556,0.07305533740038489,0.5236552688849654
1974-03-01,98997216003.305,1190.0,50.335,1795.94,5.0,3.0,7.0,612022329.0,19.0,161.77046887227496,0.46669230769230774,1.0555555555555556,0.07264816157082131,0.5236552688849654
1974-04-01,98915305862.7475,1190.0,50.3825,1795.94,5.0,3.0,7.0,613172518.0,19.0,161.33909979611738,0.46742307692307694,1.0555555555555556,0.07224098574125772,0.5236552688849654
1974-05-01,98833395722.19,1190.0,50.43,1795.94,5.0,3.0,7.0,614322707.0,19.0,160.9077307199598,0.4681538461538462,1.0555555555555556,0.07183380991169414,0.5236552688849654
1974-06-01,98751485581.63249,1190.0,50.4775,1795.94,5.0,3.0,7.0,615472896.0,19.0,160.47636164380222,0.46888461538461546,1.0555555555555556,0.07142663408213054,0.5236552688849654
1974-07-01,98669575441.075,1190.0,50.525000000000006,1795.94,5.0,3.0,7.0,616623085.0,19.0,160.04499256764464,0.46961538461538466,1.0555555555555556,0.07101945825256695,0.5236552688849654
1974-08-01,98587665300.5175,1190.0,50.572500000000005,1795.94,5.0,3.0,7.0,617773274.0,19.0,159.61362349148706,0.47034615384615386,1.0555555555555556,0.07061228242300337,0.5236552688849654
1974-09-01,98505755159.95999,1190.0,50.620000000000005,1795.94,5.0,3.0,7.0,618923463.0,19.0,159.18225441532948,0.4710769230769231,1.0555555555555556,0.07020510659343977,0.5236552688849654
1974-10-01,98423845019.4025,1190.0,50.667500000000004,1795.94,5.0,3.0,7.0,620073652.0,19.0,158.7508853391719,0.4718076923076924,1.0555555555555556,0.06979793076387619,0.5236552688849654
1974-11-01,98341934878.845,1190.0,50.715,1795.94,5.0,3.0,7.0,621223841.0,19.0,158.31951626301432,0.4725384615384616,1.0555555555555556,0.0693907549343126,0.5236552688849654
1974-12-01,98260024738.28749,1190.0,50.7625,1795.94,5.0,3.0,7.0,622374030.0,19.0,157.88814718685674,0.4732692307692308,1.0555555555555556,0.06898357910474902,0.5236552688849654
1975-01-01,98178114597.73,1190.0,50.81,1795.94,5.0,3.0,7.0,623524219.0,19.0,157.45677811069916,0.47400000000000003,1.0555555555555556,0.06857640327518542,0.5236552688849654
1975-02-01,98534645756.16333,1190.0,50.858333333333334,1795.94,5.0,3.0,7.0,624684821.4166666,19.0,157.7294050563007,0.47474358974358977,1.0555555555555556,0.06883526716661931,0.5236552688849654
1975-03-01,98891176914.59666,1190.0,50.906666666666666,1795.94,5.0,3.0,7.0,625845423.8333334,19.0,158.00203200190222,0.4754871794871795,1.0555555555555556,0.0690941310580532,0.5236552688849654
1975-04-01,99247708073.03,1190.0,50.955,1795.94,5.0,3.0,7.0,627006026.25,19.0,158.27465894750372,0.47623076923076924,1.0555555555555556,0.06935299494948709,0.5236552688849654
1975-05-01,99604239231.46333,1190.0,51.00333333333334,1795.94,5.0,3.0,7.0,628166628.6666666,19.0,158.54728589310525,0.476974358974359,1.0555555555555556,0.06961185884092098,0.5236552688849654
1975-06-01,99960770389.89667,1190.0,51.05166666666667,1795.94,5.0,3.0,7.0,629327231.0833334,19.0,158.81991283870678,0.47771794871794876,1.0555555555555556,0.06987072273235487,0.5236552688849654
1975-07-01,100317301548.32999,1190.0,51.1,1795.94,5.0,3.0,7.0,630487833.5,19.0,159.09253978430831,0.4784615384615385,1.0555555555555556,0.07012958662378876,0.5236552688849654
1975-08-01,100673832706.76332,1190.0,51.14833333333333,1795.94,5.0,3.0,7.0,631648435.9166666,19.0,159.36516672990984,0.47920512820512823,1.0555555555555556,0.07038845051522265,0.5236552688849654
1975-09-01,101030363865.19666,1190.0,51.196666666666665,1795.94,5.0,3.0,7.0,632809038.3333334,19.0,159.63779367551138,0.47994871794871796,1.0555555555555556,0.07064731440665653,0.5236552688849654
1975-10-01,101386895023.62999,1190.0,51.245000000000005,1795.94,5.0,3.0,7.0,633969640.75,19.0,159.9104206211129,0.48069230769230775,1.0555555555555556,0.07090617829809043,0.5236552688849654
1975-11-01,101743426182.06332,1190.0,51.29333333333334,1795.94,5.0,3.0,7.0,635130243.1666666,19.0,160.1830475667144,0.4814358974358975,1.0555555555555556,0.07116504218952431,0.5236552688849654
1975-12-01,102099957340.49666,1190.0,51.34166666666667,1795.94,5.0,3.0,7.0,636290845.5833334,19.0,160.45567451231594,0.4821794871794872,1.0555555555555556,0.07142390608095821,0.5236552688849654
1976-01-01,102456488498.93,1190.0,51.39,1795.94,5.0,3.0,7.0,637451448.0,19.0,160.72830145791747,0.48292307692307695,1.0555555555555556,0.07168276997239209,0.5236552688849654
1976-02-01,104019658652.29332,1190.0,51.43333333333334,1795.94,5.0,3.0,7.0,638637629.6666666,19.0,162.83440466149997,0.4835897435897436,1.0555555555555556,0.07352111295979545,0.5236552688849654
1976-03-01,105582828805.65666,1190.0,51.47666666666667,1795.94,5.0,3.0,7.0,639823811.3333334,19.0,164.94050786508248,0.48425641025641025,1.0555555555555556,0.07535945594719883,0.5236552688849654
1976-04-01,107145998959.01999,1190.0,51.519999999999996,1795.94,5.0,3.0,7.0,641009993.0,19.0,167.046611068665,0.4849230769230769,1.0555555555555556,0.07719779893460219,0.5236552688849654
1976-05-01,108709169112.38333,1190.0,51.56333333333333,1795.94,5.0,3.0,7.0,642196174.6666666,19.0,169.1527142722475,0.4855897435897436,1.0555555555555556,0.07903614192200555,0.5236552688849654
1976-06-01,110272339265.74666,1190.0,51.60666666666667,1795.94,5.0,3.0,7.0,643382356.3333334,19.0,171.25881747583,0.48625641025641025,1.0555555555555556,0.08087448490940892,0.5236552688849654
1976-07-01,111835509419.10999,1190.0,51.65,1795.94,5.0,3.0,7.0,644568538.0,19.0,173.3649206794125,0.4869230769230769,1.0555555555555556,0.08271282789681228,0.5236552688849654
1976-08-01,113398679572.47333,1190.0,51.69333333333333,1795.94,5.0,3.0,7.0,645754719.6666666,19.0,175.471023882995,0.48758974358974355,1.0555555555555556,0.08455117088421564,0.5236552688849654
1976-09-01,114961849725.83665,1190.0,51.736666666666665,1795.94,5.0,3.0,7.0,646940901.3333334,19.0,177.57712708657752,0.4882564102564102,1.0555555555555556,0.08638951387161901,0.5236552688849654
1976-10-01,116525019879.2,1190.0,51.78,1795.94,5.0,3.0,7.0,648127083.0,19.0,179.68323029016003,0.4889230769230769,1.0555555555555556,0.08822785685902237,0.5236552688849654
1976-11-01,118088190032.56332,1190.0,51.82333333333333,1795.94,5.0,3.0,7.0,649313264.6666666,19.0,181.78933349374253,0.48958974358974355,1.0555555555555556,0.09006619984642573,0.5236552688849654
1976-12-01,119651360185.92667,1190.0,51.86666666666666,1795.94,5.0,3.0,7.0,650499446.3333334,19.0,183.89543669732504,0.4902564102564102,1.0555555555555556,0.0919045428338291,0.5236552688849654
1977-01-01,121214530339.29,1190.0,51.91,1795.94,5.0,3.0,7.0,651685628.0,19.0,186.00153990090755,0.49092307692307685,1.0555555555555556,0.09374288582123247,0.5236552688849654
1977-02-01,122539169073.11,1190.0,51.95833333333333,1795.94,5.0,3.0,7.0,652900805.6666666,19.0,187.65044726596872,0.4916666666666666,1.0555555555555556,0.09501545031270145,0.5236552688849654
1977-03-01,123863807806.93,1190.0,52.00666666666666,1795.94,5.0,3.0,7.0,654115983.3333334,19.0,189.2993546310299,0.4924102564102564,1.0555555555555556,0.09628801480417042,0.5236552688849654
1977-04-01,125188446540.75,1190.0,52.055,1795.94,5.0,3.0,7.0,655331161.0,19.0,190.94826199609105,0.4931538461538461,1.0555555555555556,0.0975605792956394,0.5236552688849654
1977-05-01,126513085274.56999,1190.0,52.10333333333333,1795.94,5.0,3.0,7.0,656546338.6666666,19.0,192.59716936115223,0.49389743589743584,1.0555555555555556,0.09883314378710838,0.5236552688849654
1977-06-01,127837724008.39,1190.0,52.151666666666664,1795.94,5.0,3.0,7.0,657761516.3333334,19.0,194.2460767262134,0.49464102564102563,1.0555555555555556,0.10010570827857734,0.5236552688849654
1977-07-01,129162362742.20999,1190.0,52.2,1795.94,5.0,3.0,7.0,658976694.0,19.0,195.89498409127458,0.49538461538461537,1.0555555555555556,0.10137827277004632,0.5236552688849654
1977-08-01,130487001476.03,1190.0,52.248333333333335,1795.94,5.0,3.0,7.0,660191871.6666666,19.0,197.54389145633576,0.4961282051282051,1.0555555555555556,0.1026508372615153,0.5236552688849654
1977-09-01,131811640209.85,1190.0,52.29666666666667,1795.94,5.0,3.0,7.0,661407049.3333334,19.0,199.19279882139693,0.4968717948717949,1.0555555555555556,0.10392340175298427,0.5236552688849654
1977-10-01,133136278943.67,1190.0,52.345,1795.94,5.0,3.0,7.0,662622227.0,19.0,200.8417061864581,0.4976153846153846,1.0555555555555556,0.10519596624445325,0.5236552688849654
1977-11-01,134460917677.49,1190.0,52.39333333333333,1795.94,5.0,3.0,7.0,663837404.6666666,19.0,202.49061355151926,0.49835897435897436,1.0555555555555556,0.10646853073592223,0.5236552688849654
1977-12-01,135785556411.31,1190.0,52.44166666666667,1795.94,5.0,3.0,7.0,665052582.3333334,19.0,204.13952091658044,0.49910256410256415,1.0555555555555556,0.1077410952273912,0.5236552688849654
1978-01-01,137110195145.13,1190.0,52.49,1795.94,5.0,3.0,7.0,666267760.0,19.0,205.78842828164161,0.4998461538461539,1.0555555555555556,0.10901365971886018,0.5236552688849654
1978-02-01,138449436769.18167,1190.0,52.5375,1795.94,5.0,3.0,7.0,667516145.25,19.0,207.37718564616983,0.5005769230769231,1.0555555555555556,0.11012896157555621,0.5236552688849654
1978-03-01,139788678393.23334,1190.0,52.585,1795.94,5.0,3.0,7.0,668764530.5,19.0,208.96594301069803,0.5013076923076923,1.0555555555555556,0.11124426343225223,0.5236552688849654
1978-04-01,141127920017.285,1190.0,52.6325,1795.94,5.0,3.0,7.0,670012915.75,19.0,210.55470037522622,0.5020384615384615,1.0555555555555556,0.11235956528894826,0.5236552688849654
1978-05-01,142467161641.33667,1190.0,52.68,1795.94,5.0,3.0,7.0,671261301.0,19.0,212.14345773975444,0.5027692307692309,1.0555555555555556,0.1134748671456443,0.5236552688849654
1978-06-01,143806403265.38834,1190.0,52.7275,1795.94,5.0,3.0,7.0,672509686.25,19.0,213.73221510428266,0.5035000000000001,1.0555555555555556,0.11459016900234031,0.5236552688849654
1978-07-01,145145644889.44,1190.0,52.775000000000006,1795.94,5.0,3.0,7.0,673758071.5,19.0,215.32097246881085,0.5042307692307693,1.0555555555555556,0.11570547085903635,0.5236552688849654
1978-08-01,146484886513.49167,1190.0,52.822500000000005,1795.94,5.0,3.0,7.0,675006456.75,19.0,216.90972983333904,0.5049615384615386,1.0555555555555556,0.11682077271573238,0.5236552688849654
1978-09-01,147824128137.54333,1190.0,52.870000000000005,1795.94,5.0,3.0,7.0,676254842.0,19.0,218.49848719786726,0.5056923076923078,1.0555555555555556,0.1179360745724284,0.5236552688849654
1978-10-01,149163369761.595,1190.0,52.917500000000004,1795.94,5.0,3.0,7.0,677503227.25,19.0,220.08724456239548,0.506423076923077,1.0555555555555556,0.11905137642912443,0.5236552688849654
1978-11-01,150502611385.64667,1190.0,52.965,1795.94,5.0,3.0,7.0,678751612.5,19.0,221.67600192692368,0.5071538461538462,1.0555555555555556,0.12016667828582046,0.5236552688849654
1978-12-01,151841853009.69833,1190.0,53.0125,1795.94,5.0,3.0,7.0,679999997.75,19.0,223.26475929145187,0.5078846153846155,1.0555555555555556,0.12128198014251648,0.5236552688849654
1979-01-01,153181094633.75,1190.0,53.06,1795.94,5.0,3.0,7.0,681248383.0,19.0,224.8535166559801,0.5086153846153847,1.0555555555555556,0.12239728199921251,0.5236552688849654
1979-02-01,155979541107.9075,1190.0,53.10583333333334,1795.94,5.0,3.0,7.0,682546716.5,19.0,228.45054524271058,0.5093205128205129,1.0555555555555556,0.1246077870843819,0.5236552688849654
1979-03-01,158777987582.065,1190.0,53.15166666666667,1795.94,5.0,3.0,7.0,683845050.0,19.0,232.04757382944103,0.5100256410256411,1.0555555555555556,0.1268182921695513,0.5236552688849654
1979-04-01,161576434056.2225,1190.0,53.197500000000005,1795.94,5.0,3.0,7.0,685143383.5,19.0,235.64460241617152,0.5107307692307693,1.0555555555555556,0.1290287972547207,0.5236552688849654
1979-05-01,164374880530.38,1190.0,53.24333333333333,1795.94,5.0,3.0,7.0,686441717.0,19.0,239.241631002902,0.5114358974358975,1.0555555555555556,0.13123930233989006,0.5236552688849654
1979-06-01,167173327004.5375,1190.0,53.28916666666667,1795.94,5.0,3.0,7.0,687740050.5,19.0,242.8386595896325,0.5121410256410257,1.0555555555555556,0.13344980742505946,0.5236552688849654
1979-07-01,169971773478.695,1190.0,53.335,1795.94,5.0,3.0,7.0,689038384.0,19.0,246.435688176363,0.512846153846154,1.0555555555555556,0.13566031251022886,0.5236552688849654
1979-08-01,172770219952.8525,1190.0,53.380833333333335,1795.94,5.0,3.0,7.0,690336717.5,19.0,250.03271676309345,0.5135512820512821,1.0555555555555556,0.13787081759539824,0.5236552688849654
1979-09-01,175568666427.01,1190.0,53.42666666666667,1795.94,5.0,3.0,7.0,691635051.0,19.0,253.62974534982393,0.5142564102564103,1.0555555555555556,0.14008132268056764,0.5236552688849654
1979-10-01,178367112901.1675,1190.0,53.4725,1795.94,5.0,3.0,7.0,692933384.5,19.0,257.2267739365544,0.5149615384615385,1.0555555555555556,0.142291827765737,0.5236552688849654
1979-11-01,181165559375.325,1190.0,53.51833333333333,1795.94,5.0,3.0,7.0,694231718.0,19.0,260.8238025232849,0.5156666666666667,1.0555555555555556,0.1445023328509064,0.5236552688849654
1979-12-01,183964005849.4825,1190.0,53.564166666666665,1795.94,5.0,3.0,7.0,695530051.5,19.0,264.4208311100154,0.5163717948717949,1.0555555555555556,0.14671283793607579,0.5236552688849654
1980-01-01,186762452323.64,1190.0,53.61,1795.94,5.0,3.0,7.0,696828385.0,19.0,268.01785969674586,0.5170769230769231,1.0555555555555556,0.14892334302124519,0.5236552688849654
1980-02-01,187326928735.75668,1190.0,53.6575,1795.94,5.0,3.0,7.0,698165127.75,19.0,268.3071209706919,0.5178076923076923,1.0555555555555556,0.1490853249343411,0.5236552688849654
1980-03-01,187891405147.87335,1190.0,53.705,1795.94,5.0,3.0,7.0,699501870.5,19.0,268.596382244638,0.5185384615384616,1.0555555555555556,0.14924730684743698,0.5236552688849654
1980-04-01,188455881559.99002,1190.0,53.7525,1795.94,5.0,3.0,7.0,700838613.25,19.0,268.88564351858406,0.5192692307692308,1.0555555555555556,0.1494092887605329,0.5236552688849654
1980-05-01,189020357972.1067,1190.0,53.8,1795.94,5.0,3.0,7.0,702175356.0,19.0,269.1749047925302,0.52,1.0555555555555556,0.14957127067362877,0.5236552688849654
1980-06-01,189584834384.22336,1190.0,53.8475,1795.94,5.0,3.0,7.0,703512098.75,19.0,269.46416606647625,0.5207307692307692,1.0555555555555556,0.14973325258672468,0.5236552688849654
1980-07-01,190149310796.34003,1190.0,53.894999999999996,1795.94,5.0,3.0,7.0,704848841.5,19.0,269.7534273404223,0.5214615384615384,1.0555555555555556,0.14989523449982056,0.5236552688849654
1980-08-01,190713787208.45667,1190.0,53.9425,1795.94,5.0,3.0,7.0,706185584.25,19.0,270.0426886143684,0.5221923076923077,1.0555555555555556,0.15005721641291647,0.5236552688849654
1980-09-01,191278263620.57333,1190.0,53.99,1795.94,5.0,3.0,7.0,707522327.0,19.0,270.33194988831445,0.5229230769230769,1.0555555555555556,0.15021919832601238,0.5236552688849654
1980-10-01,191842740032.69,1190.0,54.0375,1795.94,5.0,3.0,7.0,708859069.75,19.0,270.6212111622606,0.5236538461538461,1.0555555555555556,0.15038118023910826,0.5236552688849654
1980-11-01,192407216444.80667,1190.0,54.085,1795.94,5.0,3.0,7.0,710195812.5,19.0,270.91047243620665,0.5243846153846154,1.0555555555555556,0.15054316215220417,0.5236552688849654
1980-12-01,192971692856.92334,1190.0,54.1325,1795.94,5.0,3.0,7.0,711532555.25,19.0,271.1997337101527,0.5251153846153847,1.0555555555555556,0.15070514406530006,0.5236552688849654
1981-01-01,193536169269.04,1190.0,54.18,1795.94,5.0,3.0,7.0,712869298.0,19.0,271.4889949840988,0.5258461538461539,1.0555555555555556,0.15086712597839597,0.5236552688849654
1981-02-01,194079584867.5725,1190.0,54.225833333333334,1795.94,5.0,3.0,7.0,714227645.3333334,19.0,271.7284993165066,0.5265512820512821,1.0555555555555556,0.15099968511035855,0.5236552688849654
1981-03-01,194623000466.105,1190.0,54.27166666666667,1795.94,5.0,3.0,7.0,715585992.6666666,19.0,271.9680036489144,0.5272564102564102,1.0555555555555556,0.15113224424232113,0.5236552688849654
1981-04-01,195166416064.6375,1190.0,54.317499999999995,1795.94,5.0,3.0,7.0,716944340.0,19.0,272.20750798132224,0.5279615384615385,1.0555555555555556,0.15126480337428375,0.5236552688849654
1981-05-01,195709831663.17,1190.0,54.36333333333333,1795.94,5.0,3.0,7.0,718302687.3333334,19.0,272.44701231373006,0.5286666666666666,1.0555555555555556,0.15139736250624633,0.5236552688849654
1981-06-01,196253247261.7025,1190.0,54.409166666666664,1795.94,5.0,3.0,7.0,719661034.6666666,19.0,272.6865166461379,0.5293717948717949,1.0555555555555556,0.15152992163820891,0.5236552688849654
1981-07-01,196796662860.235,1190.0,54.455,1795.94,5.0,3.0,7.0,721019382.0,19.0,272.9260209785457,0.5300769230769231,1.0555555555555556,0.15166248077017153,0.5236552688849654
1981-08-01,197340078458.7675,1190.0,54.50083333333333,1795.94,5.0,3.0,7.0,722377729.3333334,19.0,273.16552531095357,0.5307820512820512,1.0555555555555556,0.1517950399021341,0.5236552688849654
1981-09-01,197883494057.3,1190.0,54.54666666666667,1795.94,5.0,3.0,7.0,723736076.6666666,19.0,273.4050296433614,0.5314871794871795,1.0555555555555556,0.1519275990340967,0.5236552688849654
1981-10-01,198426909655.8325,1190.0,54.5925,1795.94,5.0,3.0,7.0,725094424.0,19.0,273.6445339757692,0.5321923076923076,1.0555555555555556,0.15206015816605928,0.5236552688849654
